timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
3/23/18,264.17,265.02,257.83,258.05,258.05,183534751,0,1
3/22/18,267.91,268.87,263.36,263.67,263.67,148785916,0,1
3/21/18,270.9,273.27,270.19,270.43,270.43,78709578,0,1
3/20/18,270.94,271.67,270.18,270.95,270.95,59757271,0,1
3/19/18,273.35,274.3957,268.62,270.49,270.49,109208442,0,1
3/16/18,274.5,275.39,274.14,274.2,274.2,100343673,1.0968,1
3/15/18,275.88,276.61,274.43,275,273.9044,83433038,0,1
3/14/18,277.81,278.02,274.67,275.3,274.2032,105895079,0,1
3/13/18,279.84,280.41,276.03,276.72,275.6175,91968937,0,1
3/12/18,279.2,279.91,278.0801,278.52,277.4104,71924793,0,1
3/9/18,275.7,278.87,275.34,278.87,277.759,113625335,0,1
3/8/18,273.55,274.24,272.42,274.1,273.008,66901150,0,1
3/7/18,270.42,273.18,270.2,272.78,271.6932,87063502,0,1
3/6/18,273.3,273.39,271.18,272.88,271.7928,79213163,0,1
3/5/18,267.73,272.89,267.61,272.19,271.1056,97307387,0,1
3/2/18,265.8,269.72,264.82,269.08,268.008,139083217,0,1
3/1/18,271.41,273.17,266,267.7,266.6335,176855077,0,1
2/28/18,275.68,276.19,271.29,271.65,270.5677,121907767,0,1
2/27/18,278.11,278.92,274.36,274.43,273.3367,99099165,0,1
2/26/18,275.93,278.01,275.26,277.9,276.7928,86491406,0,1
2/23/18,271.79,274.71,271.25,274.71,273.6156,92766428,0,1
2/22/18,271.1,273.05,269.64,270.4,269.3227,110511290,0,1
2/21/18,271.9,274.72,269.94,270.05,268.9741,98883740,0,1
2/20/18,272.03,273.67,270.5,271.4,270.3187,86369662,0,1
2/16/18,272.32,275.32,272.27,273.11,272.0219,160420135,0,1
2/15/18,271.57,273.04,268.77,273.03,271.9423,111200286,0,1
2/14/18,264.31,270,264.3,269.59,268.516,120735685,0,1
2/13/18,263.97,266.62,263.31,266,264.9403,81223640,0,1
2/12/18,263.83,267.01,261.6644,265.34,264.2829,143735976,0,1
2/9/18,260.8,263.61,252.92,261.5,260.4582,283565315,0,1
2/8/18,268.01,268.17,257.59,257.63,256.6036,246449505,0,1
2/7/18,268.5,272.36,267.58,267.67,266.6036,167376100,0,1
2/6/18,259.94,269.7,258.7,269.13,268.0578,355026782,0,1
2/5/18,273.45,275.85,263.31,263.93,262.8785,294681816,0,1
2/2/18,280.08,280.23,275.41,275.45,274.3526,173174790,0,1
2/1/18,281.07,283.06,280.68,281.58,280.4582,90102470,0,1
1/31/18,282.73,283.3,280.68,281.9,280.7769,118948131,0,1
1/30/18,282.6,284.736,281.22,281.76,280.6375,131796419,0,1
1/29/18,285.93,286.43,284.5,284.68,283.5458,90118337,0,1
1/26/18,284.25,286.6285,283.96,286.58,285.4383,107743119,0,1
1/25/18,284.16,284.27,282.405,283.3,282.1713,84587313,0,1
1/24/18,284.02,284.7,281.84,283.18,282.0518,134816117,0,1
1/23/18,282.74,283.62,282.37,283.29,282.1614,97084700,0,1
1/22/18,280.17,282.69,280.11,282.69,281.5638,91322408,0,1
1/19/18,279.8,280.41,279.14,280.41,279.2928,140920098,0,1
1/18/18,279.48,279.96,278.58,279.14,278.0279,100728006,0,1
1/17/18,278.03,280.05,276.97,279.61,278.496,113258799,0,1
1/16/18,279.35,280.09,276.18,276.97,275.8666,106555142,0,1
1/12/18,276.42,278.11,276.0819,277.92,276.8128,90816076,0,1
1/11/18,274.75,276.12,274.56,276.12,275.0199,62361455,0,1
1/10/18,273.68,274.42,272.92,274.12,273.0279,69574318,0,1
1/9/18,274.4,275.25,274.081,274.54,273.4462,57253957,0,1
1/8/18,273.31,274.1,272.98,273.92,272.8287,57319192,0,1
1/5/18,272.51,273.56,271.95,273.42,272.3307,83523995,0,1
1/4/18,271.2,272.16,270.5447,271.61,270.5279,80636408,0,1
1/3/18,268.96,270.64,268.96,270.47,269.3924,90070416,0,1
